trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.7}",25,15,-33.761938971473015,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.8, 'e': 0.48999999999999994}",25,0,-42.68713824567486,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.3429999999999999}",30,1,-25.659787107270844,"{0: 24, 1: 2, 2: 1, 3: 2, 4: 0}",1
4,False,"{'a': 0.8, 'e': 0.24009999999999992}",20,3,8.715564249003357,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.8, 'e': 0.16806999999999994}",20,13,5.376563706929732,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.11764899999999995}",20,3,26.839704230082962,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.08235429999999996}",20,8,6.321881995642283,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.05764800999999997}",25,19,-11.58957947297892,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.04035360699999998}",30,12,16.72738925572872,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.028247524899999984}",25,12,1.8213160438916303,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.019773267429999988}",30,20,19.59989561107949,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.01384128720099999}",20,0,0.25544234749197403,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0.009688901040699992}",20,0,18.79877308477145,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.006782230728489994}",20,0,-16.144356015163076,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.004747561509942996}",25,12,-0.9361428023414782,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.003323293056960097}",25,4,28.52866236979041,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.002326305139872068}",25,0,22.512022057641122,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.0016284135979104473}",30,0,-3.0128852997062205,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.8, 'e': 0.001139889518537313}",25,0,11.755121083360395,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.000797922662976119}",25,8,27.431833412271832,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,24.073246151670645,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,7,23.47824105064959,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,14,11.743678815969902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,15,20.144182937295934,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,17.526604999824453,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,20.739082093699686,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,16,13.91859068879295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,15,21.72036838812209,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,24.457962621277524,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,27.425914040064388,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
