trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,0,-92.9940043431912,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-54.22976961231618,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.125}",30,0,-235.29784959577498,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-161.7111223703435,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.03125}",20,0,-69.29561325557297,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.015625}",20,0,-111.57282817843044,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.0078125}",30,0,-133.77800097687722,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-136.42820540203778,"{0: 7, 1: 4, 2: 6, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",20,0,-124.82044891034116,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",25,0,-48.06678898487893,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",20,0,-78.26370622590888,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",20,0,-81.79732594171335,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.0001220703125}",20,2,-137.3294415805845,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",25,1,-72.6824316285082,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",20,0,-122.62144194823655,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",20,0,-105.81944880293959,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",25,0,-81.21613920380331,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",20,0,-95.82951491211546,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",20,9,-58.776173454483015,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",20,0,-166.83985588710067,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,16,-64.40779906174353,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,0,-111.65366458627953,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",30,0,-165.74114928881673,"{0: 13, 1: 7, 2: 8, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-219.28697327930306,"{0: 15, 1: 1, 2: 9, 3: 3, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-117.2479407874232,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-150.42155325486598,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,2,-48.8093794823867,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-80.53863927943245,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-83.85016012746932,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,0,-178.85395585100883,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 3}",0
